IPv4,Gateway,sicExists
100.64.4.65,Bali_FW01,True
100.64.4.50,BangkokCHD-FW01,True
100.64.4.9,Dubai-FW01,True
100.64.4.33,Jakarta-FW01,True
100.64.4.17,London-FW01,True
100.64.4.57,Manila_FW01,True
100.64.4.41,Miami-FW01,True
100.64.4.26,SanFrancisco-FW01,True
100.64.4.1,StudioDelhi-FW01,True
100.64.4.74,Tokyo-FW01,True
