IPv4,Gateway,sicExists
100.64.8.17,Flow-Clair_Ave,True
100.64.8.1,Flow_Coit_Rd,True
100.64.8.25,Macon159,True
100.64.8.41,Sasco-7th_Ave-FW01,True
100.64.8.9,Sasco_15th_Ave,True
100.64.8.33,Sasco_Pine_Ave-FW01,True
