IPv4,Cluster,Member1,IP1,Member2,IP2,Anti-Bot,Anti-Virus,App-Ctrl,Content,Url-F,VPN
100.64.16.9,Shanghai-FW,Shanghai-FW01,100.64.16.11,Shanghai-FW02,100.64.16.12,True,True,True,False,True,False
169.254.60.1,Tianjin-FW,Tianjin-FW01,100.64.16.19,Tianjin-FW02,100.64.16.20,True,True,False,False,True,False
