IPv4,Cluster,Member1,IP1,Member2,IP2,Anti-Bot,Anti-Virus,App-Ctrl,Content,Url-F,VPN
100.64.32.138,APAC-CHI-Changsha-FW-CKPT-NFV,APAC-CHI-Changsha-FW01-CKPT-NFV,100.64.32.139,APAC-CHI-Changsha-FW02-CKPT-NFV,100.64.32.140,True,True,True,False,True,False
100.64.32.18,APAC-IND-Bangalore-FW-CKPT-NFV,APAC-IND-Bangalore-FW01-CKPT-NFV,100.64.32.19,APAC-IND-Bangalore-FW02-CKPT-NFV,100.64.32.20,True,True,True,False,True,False
169.254.50.1,Bangkok-HA,Bangkok-FW01,100.64.32.1,Bangkok-FW02,100.64.32.2,True,True,True,False,True,True
100.64.32.50,EMEA-FRA-Paris-FL3-FW-CKPT-NFV,EMEA-FRA-Paris-FL3-FW01-CKPT-NFV,100.64.32.51,EMEA-FRA-Paris-FL3-FW02-CKPT-NFV,100.64.32.52,True,True,True,False,True,False
100.64.32.26,EMEA-SPA-Madrid-FW-CKPT-NFV,EMEA-SPA-Madrid-FW01-CKPT-NFV,100.64.32.27,EMEA-SPA-Madrid-FW02-CKPT-NFV,100.64.32.28,True,True,True,False,True,False
